Tiempo en segundos: 3.072302

Posiciones finales de los cuerpos:
Cuerpo 188: px=-0.585144 py=0.758111 pz=0.983412
Cuerpo 189: px=-0.492265 py=0.634665 pz=0.995464
Cuerpo 190: px=-0.407149 py=0.520900 pz=0.931251
Cuerpo 191: px=-0.332575 py=0.420442 pz=0.795693
Cuerpo 192: px=-0.271250 py=0.337050 pz=0.599176
Cuerpo 193: px=-0.227465 py=0.276877 pz=0.356754
Cuerpo 194: px=-0.206683 py=0.247812 pz=0.087001
Cuerpo 195: px=-0.212507 py=0.255127 pz=-0.189418
Cuerpo 196: px=-0.243784 py=0.297401 pz=-0.451325
Cuerpo 197: px=-0.295509 py=0.367648 pz=-0.678655
Cuerpo 198: px=-0.362412 py=0.458259 pz=-0.853992
Cuerpo 199: px=-0.441036 py=0.564116 pz=-0.963903
Cuerpo 200: px=-0.529098 py=0.681930 pz=-0.999967
Cuerpo 201: px=-0.623205 py=0.807205 pz=-0.959421
Cuerpo 202: px=-0.716366 py=0.930816 pz=-0.845372
Cuerpo 203: px=-0.798869 py=1.040077 pz=-0.666557
Cuerpo 204: px=-0.861229 py=1.122594 pz=-0.436676
Cuerpo 205: px=-0.896509 py=1.169302 pz=-0.173340
Cuerpo 206: px=-1.185636 py=0.883667 pz=0.000000
Cuerpo 207: px=-1.166427 py=0.869300 pz=0.274125
Cuerpo 208: px=-1.105731 py=0.823795 pz=0.527250
Cuerpo 209: px=-1.011518 py=0.753102 pz=0.739980
Cuerpo 210: px=-0.894873 py=0.665504 pz=0.896019
Cuerpo 211: px=-0.768938 py=0.570810 pz=0.983412
Cuerpo 212: px=-0.645683 py=0.477935 pz=0.995464
Cuerpo 213: px=-0.532487 py=0.392364 pz=0.931251
Cuerpo 214: px=-0.433007 py=0.316822 pz=0.795693
Cuerpo 215: px=-0.350899 py=0.254131 pz=0.599176
Cuerpo 216: px=-0.292033 py=0.208910 pz=0.356754
Cuerpo 217: px=-0.263895 py=0.187074 pz=0.087001
Cuerpo 218: px=-0.271429 py=0.192566 pz=-0.189418
Cuerpo 219: px=-0.313152 py=0.224316 pz=-0.451325
Cuerpo 220: px=-0.382318 py=0.277094 pz=-0.678655
Cuerpo 221: px=-0.471716 py=0.345197 pz=-0.853992
Cuerpo 222: px=-0.576558 py=0.424792 pz=-0.963903
Cuerpo 223: px=-0.693716 py=0.513408 pz=-0.999967
Cuerpo 224: px=-0.818700 py=0.607669 pz=-0.959421
Cuerpo 225: px=-0.942290 py=0.700701 pz=-0.845372
Cuerpo 226: px=-1.051672 py=0.782943 pz=-0.666557
Cuerpo 227: px=-1.134328 py=0.845067 pz=-0.436676
Cuerpo 228: px=-1.181113 py=0.880237 pz=-0.173340
Cuerpo 229: px=-1.381565 py=0.526648 pz=0.000000
Cuerpo 230: px=-1.359164 py=0.518101 pz=0.274125
Cuerpo 231: px=-1.288327 py=0.491031 pz=0.527250
Cuerpo 232: px=-1.178337 py=0.448984 pz=0.739980
Cuerpo 233: px=-1.042126 py=0.396894 pz=0.896019
Cuerpo 234: px=-0.895024 py=0.340607 pz=0.983412
Cuerpo 235: px=-0.750969 py=0.285436 pz=0.995464
Cuerpo 236: px=-0.618558 py=0.234651 pz=0.931251
Cuerpo 237: px=-0.502045 py=0.189871 pz=0.795693
Cuerpo 238: px=-0.405737 py=0.152760 pz=0.599176
Cuerpo 239: px=-0.336579 py=0.126026 pz=0.356754
Cuerpo 240: px=-0.303425 py=0.113141 pz=0.087001
Cuerpo 241: px=-0.312142 py=0.116413 pz=-0.189418
Cuerpo 242: px=-0.361010 py=0.135203 pz=-0.451325
Cuerpo 243: px=-0.442099 py=0.166434 pz=-0.678655
Cuerpo 244: px=-0.546874 py=0.206765 pz=-0.853992
Cuerpo 245: px=-0.669647 py=0.253952 pz=-0.963903
Cuerpo 246: px=-0.806713 py=0.306547 pz=-0.999967
Cuerpo 247: px=-0.952834 py=0.362543 pz=-0.959421
Cuerpo 248: px=-1.097254 py=0.417841 pz=-0.845372
Cuerpo 249: px=-1.225040 py=0.466745 pz=-0.666557
Cuerpo 250: px=-1.321599 py=0.503691 pz=-0.436676
Cuerpo 251: px=-1.376258 py=0.524610 pz=-0.173340
Cuerpo 252: px=-1.472842 py=0.129766 pz=0.000000
Cuerpo 253: px=-1.448957 py=0.127686 pz=0.274125
Cuerpo 254: px=-1.373409 py=0.121124 pz=0.527250
Cuerpo 255: px=-1.256095 py=0.110945 pz=0.739980
Cuerpo 256: px=-1.110806 py=0.098361 pz=0.896019
Cuerpo 257: px=-0.953886 py=0.084807 pz=0.983412
Cuerpo 258: px=-0.800187 py=0.071592 pz=0.995464
Cuerpo 259: px=-0.658878 py=0.059523 pz=0.931251
Cuerpo 260: px=-0.534492 py=0.048994 pz=0.795693
Cuerpo 261: px=-0.431631 py=0.040372 pz=0.599176
Cuerpo 262: px=-0.357731 py=0.034235 pz=0.356754
Cuerpo 263: px=-0.322278 py=0.031328 pz=0.087001
Cuerpo 264: px=-0.331552 py=0.032142 pz=-0.189418
Cuerpo 265: px=-0.383730 py=0.036516 pz=-0.451325
Cuerpo 266: px=-0.470328 py=0.043766 pz=-0.678655
Cuerpo 267: px=-0.582210 py=0.053179 pz=-0.853992
Cuerpo 268: px=-0.713273 py=0.064293 pz=-0.963903
Cuerpo 269: px=-0.859558 py=0.076797 pz=-0.999967
Cuerpo 270: px=-1.015467 py=0.090204 pz=-0.959421
Cuerpo 271: px=-1.169547 py=0.103506 pz=-0.845372
Cuerpo 272: px=-1.305864 py=0.115303 pz=-0.666557
Cuerpo 273: px=-1.408870 py=0.124227 pz=-0.436676
Cuerpo 274: px=-1.467181 py=0.129280 pz=-0.173340
Cuerpo 275: px=-1.452570 py=-0.276974 pz=0.000000
Cuerpo 276: px=-1.429018 py=-0.272425 pz=0.274125
Cuerpo 277: px=-1.354550 py=-0.257970 pz=0.527250
Cuerpo 278: px=-1.238928 py=-0.235487 pz=0.739980
Cuerpo 279: px=-1.095742 py=-0.207582 pz=0.896019
Cuerpo 280: px=-0.941099 py=-0.177336 pz=0.983412
Cuerpo 281: px=-0.789652 py=-0.147545 pz=0.995464
Cuerpo 282: px=-0.650442 py=-0.119922 pz=0.931251
Cuerpo 283: px=-0.527946 py=-0.095333 pz=0.795693
Cuerpo 284: px=-0.426681 py=-0.074738 pz=0.599176
